"Path","Lines","Defs"
"internal\app\session_store.go","28","func newPersistentSessionManager(root string) (*session.Manager, error) { | func defaultSessionStoreRoot(baseDir string) string {"
"internal\app\status.go","43","type StatusResponse struct { | type SessionStatus struct { | func StatusHandler(sessionManager *session.Manager) http.HandlerFunc {"
"internal\app\status_test.go","51","func TestStatusHandlerReturnsSessionSnapshot(t *testing.T) { | func contains(s, sub string) bool {"
"internal\app\webui.go","489","func webUIHTML(wsPath string) string {"
"internal\approval\manager.go","225","type Status string | const ( | type Request struct { | type Manager struct { | func NewManager() *Manager { | func (m *Manager) Create(sessionID, runID, userMessageID, toolName, toolInput, reason, category, ruleSource string) Request { | func (m *Manager) CreateWithToolMetadata(sessionID, runID, userMessageID, toolName, toolInput, toolUseID, providerMessageID, reason, category, ruleSource string) Request { | func (m *Manager) CreateWithToolInputObject(sessionID, runID, userMessageID, toolName, toolInput string, toolInputObject map[string]any, toolUseID, providerMessageID, reason, category, ruleSource string) Request { | func (m *Manager) CreateWithDecisionReason(sessionID, runID, userMessageID, toolName, toolInput string, toolInputObject map[string]any, toolUseID, providerMessageID, reason, decisionReason, category, ruleSource string) Request { | func (m *Manager) CreateWithPromptMetadata(sessionID, runID, userMessageID, toolName, toolInput string, toolInputObject map[string]any, toolUseID, providerMessageID, reason, decisionReason, acceptFeedback string, contentBlocks []map[string]any, category, ruleSource string) Request { | func (m *Manager) ListBySession(sessionID string) []Request { | func (m *Manager) ListBySessionAndStatus(sessionID string, status Status) []Request { | func (m *Manager) Get(id string) (Request, bool) { | func (m *Manager) UpdateStatus(id string, status Status) (Request, error) { | func (m *Manager) UpdatePromptMetadata(id, acceptFeedback string, contentBlocks []map[string]any) (Request, error) { | func (m *Manager) ClearBySessionAndStatus(sessionID string, status Status) int { | func (m *Manager) Restore(request Request) { | func cloneAnyMap(input map[string]any) map[string]any { | func cloneAnyMaps(input []map[string]any) []map[string]any { | func parseApprovalCounter(id string) (uint64, bool) {"
"internal\approval\manager_test.go","91","func TestManagerListBySessionAndStatusFiltersResults(t *testing.T) { | func TestManagerClearSessionDefaultsToTerminalStatusesOnly(t *testing.T) { | func TestManagerCreateStoresCategory(t *testing.T) { | func TestManagerCreateStoresRuleSource(t *testing.T) { | func TestManagerUpdatePromptMetadataStoresClonedApprovalFeedbackBlocks(t *testing.T) {"
"internal\compaction\service.go","877","type Config struct { | type Analysis struct { | type Reason string | const ( | const clearedToolResultMessage = ""[Old tool result content cleared]"" | const maxSessionMemorySectionLength = 2000 | var compactableToolResultPrefixes = []string{ | type Result struct { | type Service struct { | func (s *Service) Config() Config { | type SessionMemoryOptions struct { | func NewService(cfg Config) *Service { | func (s *Service) Analyze(messages []model.Message) Analysis { | func (s *Service) CompactIfNeeded(messages []model.Message) ([]model.Message, bool) { | func (s *Service) Compact(messages []model.Message) Result { | func (s *Service) CompactWithSessionMemory(messages []model.Message, summaryMemory, lastSummarizedMessageID string) Result { | func (s *Service) CompactWithSessionMemoryOptions(messages []model.Message, summaryMemory, lastSummarizedMessageID string, opts SessionMemoryOptions) Result { | func (s *Service) compactTraditional(messages []model.Message) Result { | func (s *Service) Microcompact(messages []model.Message) Result { | func (s *Service) overTokenBudget(messages []model.Message) bool { | func estimateTokens(messages []model.Message) int { | func messageBlocksText(blocks []model.MessageBlock) string { | func estimateBlockTokens(block model.MessageBlock) int { | func roughTokenCount(content string) int { | func cloneMessages(messages []model.Message) []model.Message { | func cloneMessage(message model.Message) model.Message { | func cloneAnyMap(input map[string]any) map[string]any { | func filterCompactBoundaryMessages(messages []model.Message) []model.Message { | func firstSessionID(messages []model.Message) string { | func sessionMemorySummaryMessage(sessionID, content string, opts SessionMemoryOptions) model.Message { | func compactBoundaryMessage(sessionID string, preTokens int, messages []model.Message, messagesSummarized int) model.Message { | func annotateBoundaryWithPreservedSegment(boundary *model.Message, anchorID string, messagesToKeep []model.Message) { | func isCompactBoundaryMessage(message model.Message) bool { | func getCompactUserSummaryMessage(summary string, suppressFollowUpQuestions bool, transcriptPath string, recentMessagesPreserved bool) string { | func formatCompactSummary(summary string) string { | func truncateSessionMemoryForCompact(content string) (string, bool) { | func flushSessionMemorySection(sectionHeader string, sectionLines []string, maxCharsPerSection int) ([]string, bool) { | func newUUID() string { | func compactTranscriptNote(sessionID, transcriptPath string) *model.Message { | func extractDiscoveredToolNames(messages []model.Message) []string { | func extractToolReferences(discovered map[string]struct{}, value any) { | func microcompactToolMessage(msg model.Message) (model.Message, bool) { | func max(a, b int) int { | func (s *Service) sessionMemoryStartIndex(messages []model.Message, lastSummarizedMessageID string) int { | func (s *Service) adjustToBoundaryFloor(messages []model.Message, startIndex int) int { | func hasTextBlocks(message model.Message) bool { | func toolResultIDsForMessage(message model.Message) []string { | func toolUseIDsForMessage(message model.Message) []string { | func (s *Service) compactionReason(messages []model.Message) Reason {"
"internal\compaction\service_test.go","941","func TestServiceCompactIfNeededSummarizesOldMessages(t *testing.T) { | func TestServiceCompactIfNeededSkipsShortHistory(t *testing.T) { | func TestServiceCompactIfNeededUsesEstimatedTokens(t *testing.T) { | func TestServiceAnalyzeReportsThresholdStates(t *testing.T) { | func TestServiceAnalyzeHandlesZeroContextWindow(t *testing.T) { | func TestServiceCompactReturnsStructuredResultForMessageLimit(t *testing.T) { | func TestServiceCompactReturnsStructuredResultForTokenBudget(t *testing.T) { | func TestServiceCompactFlattensOlderSummaryMessagesInsteadOfNestingSummaryPrefixes(t *testing.T) { | func TestServiceMicrocompactClearsOlderCompactableToolResultsButKeepsRecentTail(t *testing.T) { | func TestServiceMicrocompactSkipsNonCompactableToolResults(t *testing.T) { | func TestServiceCompactWithSessionMemoryUsesPersistedSummaryAndKeepsTailAfterAnchor(t *testing.T) { | func TestServiceCompactWithSessionMemoryFallsBackWhenAnchorIsMissing(t *testing.T) { | func TestServiceCompactWithSessionMemorySupportsResumedSessionWithoutAnchor(t *testing.T) { | func TestServiceCompactWithSessionMemoryDoesNotSplitAssistantToolResultPair(t *testing.T) { | func TestServiceCompactWithSessionMemoryPreservesBlockToolUseForKeptToolResult(t *testing.T) { | func TestServiceCompactWithSessionMemoryPreservesThinkingBlocksForSameProviderMessage(t *testing.T) { | func TestServiceCompactWithSessionMemoryFiltersOldCompactBoundariesFromPreservedTail(t *testing.T) { | func TestServiceCompactWithSessionMemoryOptionsInjectsCompactHooksAndTranscriptNote(t *testing.T) { | func TestServiceCompactWithSessionMemoryBuildsClaudePostCompactShape(t *testing.T) { | func TestServiceCompactWithSessionMemoryPreservesInvokedSkillAttachmentBeforeHooks(t *testing.T) { | func TestBuildInvokedSkillsAttachmentMessageUsesStableCamelCasePayload(t *testing.T) { | func TestServiceCompactWithSessionMemoryUsesFreshIDsAndPreservedSegmentLinks(t *testing.T) { | func TestServiceCompactWithSessionMemorySummaryUsesClaudeContinuationPromptAndTruncatesSections(t *testing.T) { | func TestServiceCompactWithSessionMemoryDoesNotAppendSessionMemoryPathWithoutTruncation(t *testing.T) { | func TestServiceCompactWithSessionMemoryDoesNotExpandAcrossClaudeStyleBoundary(t *testing.T) { | func TestServiceAnalyzeEstimatesStructuredMessageContent(t *testing.T) { | func TestServiceCompactWithSessionMemoryOptionsFallsBackWhenPostCompactExceedsThreshold(t *testing.T) {"
"internal\config\config.go","1051","type Config struct { | type ServerConfig struct { | type LLMConfig struct { | type LLMProxyConfig struct { | type LLMProviderConfig struct { | type LLMProfileConfig struct { | type LLMRoutingConfig struct { | type PermissionConfig struct { | type CompactConfig struct { | type MCPServerConfig struct { | type MCPConfig struct { | func Default() Config { | func LoadFromDir(dir string) Config { | func loadFromDir(dir string) (Config, error) { | func defaultConfig() Config { | type fileConfig struct { | type fileRuntimeConfig struct { | type fileServerConfig struct { | type fileLLMConfig struct { | type fileLLMProxyConfig struct { | type fileLLMProviderConfig struct { | type fileLLMProfileConfig struct { | type fileLLMRoutingConfig struct { | type filePermissionConfig struct { | type fileCompactConfig struct { | type fileMCPConfig struct { | type fileMCPServerConfig struct { | func mergeFileConfig(cfg *Config, path string) error { | func applyEnvOverrides(cfg *Config) { | func mergeFileMCPServers(servers []fileMCPServerConfig) []MCPServerConfig { | func expandEnvMap(values map[string]string) map[string]string { | func resolveMCPPaths(cfg *Config, dir string) { | func resolveMCPPath(baseDir, value string) string { | func resolveMCPHelperPath(baseDir, value string) string { | func validateMCPConfig(cfg *MCPConfig) error { | func normalizeMCPServerTransport(value string, server MCPServerConfig) string { | func applyProviderEnvOverride(cfg *Config, path, value string) { | func applyProxyEnvOverride(proxyCfg *LLMProxyConfig, path, value string) { | func applyProfileEnvOverride(cfg *Config, path, value string) { | func applyRoutingEnvOverride(cfg *Config, path, value string) { | func validateAndResolve(cfg *Config) error { | func configPath(dir string) string { | func expandEnv(value string) string { | func expandEnvList(values []string) []string { | func envOrDefault(key, fallback string) string { | func userSettingsPath() string { | func projectSettingsPath(dir string) string { | func localSettingsPath(dir string) string { | func settingsBaseDir(dir string) string { | func firstNonEmptyEnv(keys []string, fallback string) string { | func envBool(key string, fallback bool) bool { | func parseBool(value string, fallback bool) bool { | func parseInt(value string, fallback int) int { | func splitList(raw string) []string { | func parsePermissionRules(raw string) []permissions.Rule { | func resolvePermissionPaths(cfg *Config, dir string) { | func resolveRelativePaths(base string, values []string) []string { | func normalizeMapKey(value string) string { | func firstNonEmpty(values ...string) string { | func mergeFileProxyConfig(dst *LLMProxyConfig, src fileLLMProxyConfig) { | func validateProxyConfig(path string, cfg LLMProxyConfig) error {"
"internal\config\config_test.go","570","func TestLoadFromDirLoadsSingleConfigFileAndIgnoresClaudeSettings(t *testing.T) { | func TestLoadFromDirExpandsEnvAndAppliesProviderAndProfileOverrides(t *testing.T) { | func TestLoadFromDirResolvesRelativePermissionPaths(t *testing.T) { | func TestLoadFromDirPanicsOnInvalidRoutingProfile(t *testing.T) { | func TestLoadFromDirLoadsMCPServersAndResolvesPaths(t *testing.T) { | func TestLoadFromDirRejectsInvalidMCPServerConfig(t *testing.T) { | func TestLoadFromDirAllowsDisabledPlaceholderMCPServerConfig(t *testing.T) { | func TestLoadFromDirRejectsDisabledMCPServerWithoutName(t *testing.T) { | func TestPermissionUpdatePersisterWritesToConfiguredMyclawJSON(t *testing.T) { | func writeTestConfig(t *testing.T, dir, raw string) {"
"internal\config\permission_updates.go","290","type PermissionUpdatePersister struct { | func NewPermissionUpdatePersister(dir string) *PermissionUpdatePersister { | func (p *PermissionUpdatePersister) PersistPermissionUpdates(_ context.Context, _ session.Session, updates []permissions.PermissionUpdate) error { | func (p *PermissionUpdatePersister) pathForDestination(destination permissions.PermissionUpdateDestination) string { | func isLocalSettingsPath(path, dir string) bool { | func ensureLocalSettingsGitignored(dir string) error { | func applyPermissionUpdateToFileConfig(fileCfg *fileConfig, update permissions.PermissionUpdate) bool { | func rulesWithoutPersistentBehavior(rules []permissions.Rule, update permissions.PermissionUpdate) []permissions.Rule { | func removePersistentRules(existing, remove []permissions.Rule, update permissions.PermissionUpdate) []permissions.Rule { | func containsConfigRule(rules []permissions.Rule, candidate permissions.Rule) bool { | func appendUniqueConfigStrings(existing []string, values ...string) []string { | func removeConfigStrings(existing []string, remove ...string) []string { | func containsConfigString(values []string, candidate string) bool { | func sameConfigStrings(a, b []string) bool { | func readWritableFileConfig(path string) (fileConfig, error) { | func writeWritableFileConfig(path string, fileCfg fileConfig) error { | func isPersistentPermissionDestination(destination permissions.PermissionUpdateDestination) bool { | func permissionUpdateRulesForConfig(update permissions.PermissionUpdate) []permissions.Rule { | func permissionUpdateConfigRuleSource(destination permissions.PermissionUpdateDestination) permissions.RuleSource {"
"internal\diagnostics\logger.go","74","type Entry struct { | type Logger struct { | func NewLogger(path string) (*Logger, error) { | func (l *Logger) Path() string { | func (l *Logger) Log(entry Entry) error { | func (l *Logger) Close() error {"
"internal\diagnostics\logger_test.go","54","func TestLoggerWritesJSONLRecord(t *testing.T) {"
"internal\engine\engine.go","129","type Config struct { | type Engine struct { | func New(cfg Config) *Engine { | func (e *Engine) RunTurn(ctx context.Context, req TurnRequest) (TurnResult, error) { | func firstToolCall(sess model.Session, events []ModelEvent) (ToolCall, bool) { | func cloneMessages(messages []model.Message) []model.Message {"
"internal\engine\engine_test.go","125","func TestEngineRunTurnHandlesToolLoopAndCompaction(t *testing.T) { | func TestEngineRunTurnBlocksDeniedTool(t *testing.T) {"
"internal\engine\types.go","78","type EventType string | const ( | type ModelEvent struct { | type GenerateRequest struct { | type Model interface { | type StaticModel func(GenerateRequest) []ModelEvent | func (m StaticModel) Generate(_ context.Context, req GenerateRequest) ([]ModelEvent, error) { | type ToolCall struct { | type ToolExecutor interface { | type ToolExecutorFunc func(context.Context, ToolCall) (string, error) | func (f ToolExecutorFunc) Execute(ctx context.Context, call ToolCall) (string, error) { | type TurnRequest struct { | type TurnResult struct { | func collectAssistantContent(events []ModelEvent) string {"
"internal\gateway\client.go","110","type Client struct { | func NewClient(id string, conn *websocket.Conn) *Client { | func (c *Client) ID() string { | func (c *Client) BindSession(sessionID, sessionKey string) { | func (c *Client) SetSupportsPermissionControl(supported bool) { | func (c *Client) SupportsPermissionControl() bool { | func (c *Client) SessionID() string { | func (c *Client) SessionKey() string { | func (c *Client) WriteJSON(msg protocolws.Message) error { | func (c *Client) RegisterControlRequest(id string) <-chan protocolws.Message { | func (c *Client) ResolveControlResponse(msg protocolws.Message) bool { | func (c *Client) CancelControlRequest(id string) { | func (c *Client) Close() error {"
"internal\gateway\id.go","7","func formatID(id uint64) string {"
"internal\gateway\server.go","2150","type Server struct { | type Options struct { | func NewServer(logger *log.Logger, sessionManager *session.Manager, llmClient llm.Client) *Server { | func NewServerWithOptions(logger *log.Logger, sessionManager *session.Manager, llmClient llm.Client, options Options) *Server { | func (s *Server) HandleWebSocket(w http.ResponseWriter, r *http.Request) { | func (s *Server) handleClient(client *Client) error { | func (s *Server) CheckPermission(ctx context.Context, request queryengine.PermissionHookRequest) (permissions.Decision, bool, error) { | type permissionHookResult struct { | func (s *Server) requestCanUseTool(ctx context.Context, client *Client, request queryengine.PermissionHookRequest, fallback queryengine.PermissionHook) (permissions.Decision, bool, error) { | func permissionDecisionFromControlResponse(response protocolws.Message) (permissions.Decision, bool, error) { | func applyControlUpdatedInput(decision *permissions.Decision, updatedInput any) { | func decodePermissionUpdates(value any) ([]permissions.PermissionUpdate, error) { | func decodeContentBlockMaps(value any) ([]map[string]any, error) { | func cloneAnyMap(input map[string]any) map[string]any { | func cloneAnyMaps(input []map[string]any) []map[string]any { | func controlString(payload map[string]any, keys ...string) string { | type runtimeSink struct { | func (s runtimeSink) Emit(event runtime.RuntimeEvent) error { | func parseConnectPayload(payload map[string]any) (protocolws.ConnectPayload, error) { | func parseSendMessagePayload(payload map[string]any) (protocolws.SendMessagePayload, error) { | func parseSpawnSubagentPayload(payload map[string]any) (protocolws.SpawnSubagentPayload, error) { | func parseSessionStatusPayload(payload map[string]any) (protocolws.SessionStatusPayload, error) { | func parseMCPStatusPayload(payload map[string]any) (protocolws.MCPStatusPayload, error) { | func parseMCPActionPayload(payload map[string]any, method string) (protocolws.MCPActionPayload, error) { | func parseSessionSetPermissionPayload(payload map[string]any) (protocolws.SessionSetPermissionPayload, error) { | func parseSessionSetModelPayload(payload map[string]any) (protocolws.SessionSetModelPayload, error) { | func mcpInventoryPayload(inventory runtime.MCPInventory) map[string]any { | func mcpServerPayloads(servers []runtime.MCPServerSnapshot) []map[string]any { | func mcpServerPayload(server runtime.MCPServerSnapshot) map[string]any { | func mcpAuthStartPayload(result tools.MCPAuthStartResult) map[string]any { | func filterMCPServerSnapshots(servers []runtime.MCPServerSnapshot, name string) ([]runtime.MCPServerSnapshot, bool) { | func (s *Server) resolveSessionForStatus(client *Client, payload protocolws.SessionStatusPayload) (session.Session, error) { | type connectError struct { | func (e *connectError) Error() string { | func (s *Server) readMessage(client *Client) (protocolws.Message, error) { | func (s *Server) nextClientID() string { | func (s *Server) addClient(client *Client) { | func (s *Server) permissionControlClient(sessionID string) *Client { | func (s *Server) removeClient(id string) { | func (s *Server) ActiveClients() int { | func (s *Server) SessionManager() *session.Manager { | func toAnySlice(items []string) []any { | func toAnyMap(items map[string]int) map[string]any { | func formatOptionalTime(value time.Time) string { | func subagentPayload(run agent.Run) map[string]any { | func withSubagentMessage(payload map[string]any, message string) map[string]any { | func orchestrationPayload(run orchestration.RunState) map[string]any { | func orchestrationHistoryPayload(record orchestration.DecisionRecord) map[string]any { | func orchestrationSuggestionPayload(suggestion orchestration.Suggestion) map[string]any { | func orchestrationPlanStepPayload(step orchestration.PlanStep) map[string]any { | func countBlockingSuggestions(suggestions []orchestration.Suggestion) int { | func (s *Server) emitOrchestrationUpdated(client *Client, runID string) error { | func (s *Server) emitOrchestratorEvent(ctx context.Context, event orchestration.Event) error { | func (s *Server) watchSubagentCompletion(client *Client, sess session.Session, runID string) { | func (s *Server) reportToolProgress(progress tools.ToolProgress) {} | func defaultWorkspaceRoot() string {"
